minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.3,13,ranked_pairs,1.0,0.9311594202898551,0.06884057971014493
0.3,14,leader,0.875,0.884963768115942,0.11503623188405797
0.3,14,lww,1.0,0.9352355072463768,0.06476449275362318
0.3,14,ranked_pairs,1.0,0.9352355072463768,0.06476449275362318
0.4,0,leader,0.5,0.9556159420289855,0.044384057971014496
0.4,0,lww,1.0,0.9166666666666666,0.08333333333333333
0.4,0,ranked_pairs,1.0,0.9166666666666666,0.08333333333333333
0.4,1,leader,0.5416666666666666,0.9447463768115942,0.0552536231884058
0.4,1,lww,1.0,0.9098731884057971,0.0901268115942029
0.4,1,ranked_pairs,1.0,0.9098731884057971,0.0901268115942029
0.4,2,leader,0.625,0.9515398550724637,0.04846014492753623
0.4,2,lww,1.0,0.9239130434782609,0.07608695652173914
0.4,2,ranked_pairs,1.0,0.9239130434782609,0.07608695652173914
0.4,3,leader,0.75,0.9053442028985508,0.09465579710144928
0.4,3,lww,1.0,0.9284420289855072,0.07155797101449275
0.4,3,ranked_pairs,1.0,0.9284420289855072,0.07155797101449275
0.4,4,leader,0.7916666666666666,0.9057971014492754,0.09420289855072464
0.4,4,lww,1.0,0.9153079710144928,0.08469202898550725
0.4,4,ranked_pairs,1.0,0.9153079710144928,0.08469202898550725
0.4,5,leader,0.625,0.9370471014492754,0.06295289855072464
0.4,5,lww,1.0,0.9184782608695652,0.08152173913043478
0.4,5,ranked_pairs,1.0,0.9184782608695652,0.08152173913043478
0.4,6,leader,0.6666666666666666,0.9456521739130435,0.05434782608695652
0.4,6,lww,1.0,0.917572463768116,0.08242753623188406
0.4,6,ranked_pairs,1.0,0.917572463768116,0.08242753623188406
0.4,7,leader,0.5833333333333334,0.9375,0.0625
0.4,7,lww,1.0,0.9184782608695652,0.08152173913043478
0.4,7,ranked_pairs,1.0,0.9184782608695652,0.08152173913043478
0.4,8,leader,0.7083333333333334,0.9578804347826086,0.042119565217391304
0.4,8,lww,1.0,0.9284420289855072,0.07155797101449275
0.4,8,ranked_pairs,1.0,0.9284420289855072,0.07155797101449275
0.4,9,leader,0.625,0.96875,0.03125
0.4,9,lww,1.0,0.9311594202898551,0.06884057971014493
0.4,9,ranked_pairs,1.0,0.9311594202898551,0.06884057971014493
0.4,10,leader,0.5833333333333334,0.9592391304347826,0.04076086956521739
0.4,10,lww,1.0,0.9293478260869565,0.07065217391304347
0.4,10,ranked_pairs,1.0,0.9293478260869565,0.07065217391304347
0.4,11,leader,0.625,0.8817934782608696,0.11820652173913043
0.4,11,lww,1.0,0.9180253623188406,0.08197463768115942
0.4,11,ranked_pairs,1.0,0.9180253623188406,0.08197463768115942
0.4,12,leader,0.5833333333333334,0.9438405797101449,0.05615942028985507
0.4,12,lww,1.0,0.9252717391304348,0.07472826086956522
0.4,12,ranked_pairs,1.0,0.9252717391304348,0.07472826086956522
0.4,13,leader,0.7083333333333334,0.9057971014492754,0.09420289855072464
0.4,13,lww,1.0,0.9184782608695652,0.08152173913043478
0.4,13,ranked_pairs,1.0,0.9184782608695652,0.08152173913043478
0.4,14,leader,0.5833333333333334,0.9406702898550725,0.059329710144927536
0.4,14,lww,1.0,0.9311594202898551,0.06884057971014493
0.4,14,ranked_pairs,1.0,0.9311594202898551,0.06884057971014493
0.5,0,leader,0.5,0.9465579710144928,0.05344202898550725
0.5,0,lww,1.0,0.9144021739130435,0.08559782608695653
0.5,0,ranked_pairs,1.0,0.9144021739130435,0.08559782608695653
