conflict,trial,strategy,M,causal_density,tau_causal,tau_contested,tauhat,info_retention
low,10,vc,24,0.32608695652173914,0,548,0.24818840579710144,0.7518115942028986
low,10,crdt_pure,24,0.32608695652173914,0,96,0.043478260869565216,0.9565217391304348
low,10,crdt_lww,24,0.32608695652173914,0,96,0.043478260869565216,0.9565217391304348
low,10,leader,24,0.32608695652173914,0,24,0.010869565217391304,0.9891304347826086
low,10,ranked_pairs,24,0.32608695652173914,0,96,0.043478260869565216,0.9565217391304348
low,11,lww,24,0.27898550724637683,0,125,0.05661231884057971,0.9433876811594203
low,11,vc,24,0.27898550724637683,0,611,0.2767210144927536,0.7232789855072463
low,11,crdt_pure,24,0.27898550724637683,0,125,0.05661231884057971,0.9433876811594203
low,11,crdt_lww,24,0.27898550724637683,0,125,0.05661231884057971,0.9433876811594203
low,11,leader,24,0.27898550724637683,0,149,0.06748188405797101,0.932518115942029
low,11,ranked_pairs,24,0.27898550724637683,0,125,0.05661231884057971,0.9433876811594203
low,12,lww,24,0.33695652173913043,0,78,0.035326086956521736,0.9646739130434783
low,12,vc,24,0.33695652173913043,0,408,0.18478260869565216,0.8152173913043479
low,12,crdt_pure,24,0.33695652173913043,0,78,0.035326086956521736,0.9646739130434783
low,12,crdt_lww,24,0.33695652173913043,0,78,0.035326086956521736,0.9646739130434783
low,12,leader,24,0.33695652173913043,0,111,0.050271739130434784,0.9497282608695652
low,12,ranked_pairs,24,0.33695652173913043,0,78,0.035326086956521736,0.9646739130434783
low,13,lww,24,0.3442028985507246,0,105,0.04755434782608696,0.9524456521739131
low,13,vc,24,0.3442028985507246,0,455,0.20606884057971014,0.7939311594202898
low,13,crdt_pure,24,0.3442028985507246,0,105,0.04755434782608696,0.9524456521739131
low,13,crdt_lww,24,0.3442028985507246,0,105,0.04755434782608696,0.9524456521739131
low,13,leader,24,0.3442028985507246,0,189,0.08559782608695653,0.9144021739130435
low,13,ranked_pairs,24,0.3442028985507246,0,105,0.04755434782608696,0.9524456521739131
low,14,lww,24,0.36594202898550726,0,91,0.04121376811594203,0.958786231884058
low,14,vc,24,0.36594202898550726,0,593,0.26856884057971014,0.7314311594202898
low,14,crdt_pure,24,0.36594202898550726,0,91,0.04121376811594203,0.958786231884058
low,14,crdt_lww,24,0.36594202898550726,0,91,0.04121376811594203,0.958786231884058
low,14,leader,24,0.36594202898550726,0,57,0.025815217391304348,0.9741847826086957
low,14,ranked_pairs,24,0.36594202898550726,0,91,0.04121376811594203,0.958786231884058
low,15,lww,24,0.36594202898550726,0,71,0.03215579710144927,0.9678442028985508
low,15,vc,24,0.36594202898550726,0,385,0.1743659420289855,0.8256340579710145
low,15,crdt_pure,24,0.36594202898550726,0,71,0.03215579710144927,0.9678442028985508
low,15,crdt_lww,24,0.36594202898550726,0,71,0.03215579710144927,0.9678442028985508
low,15,leader,24,0.36594202898550726,0,111,0.050271739130434784,0.9497282608695652
low,15,ranked_pairs,24,0.36594202898550726,0,71,0.03215579710144927,0.9678442028985508
low,16,lww,24,0.36594202898550726,0,96,0.043478260869565216,0.9565217391304348
low,16,vc,24,0.36594202898550726,0,532,0.24094202898550723,0.7590579710144928
low,16,crdt_pure,24,0.36594202898550726,0,96,0.043478260869565216,0.9565217391304348
low,16,crdt_lww,24,0.36594202898550726,0,96,0.043478260869565216,0.9565217391304348
low,16,leader,24,0.36594202898550726,0,95,0.043025362318840576,0.9569746376811594
low,16,ranked_pairs,24,0.36594202898550726,0,96,0.043478260869565216,0.9565217391304348
low,17,lww,24,0.2572463768115942,0,132,0.059782608695652176,0.9402173913043478
low,17,vc,24,0.2572463768115942,0,566,0.2563405797101449,0.7436594202898551
low,17,crdt_pure,24,0.2572463768115942,0,132,0.059782608695652176,0.9402173913043478
low,17,crdt_lww,24,0.2572463768115942,0,132,0.059782608695652176,0.9402173913043478
low,17,leader,24,0.2572463768115942,0,100,0.04528985507246377,0.9547101449275363
low,17,ranked_pairs,24,0.2572463768115942,0,132,0.059782608695652176,0.9402173913043478
low,18,lww,24,0.32608695652173914,0,113,0.051177536231884056,0.948822463768116
low,18,vc,24,0.32608695652173914,0,689,0.3120471014492754,0.6879528985507246
low,18,crdt_pure,24,0.32608695652173914,0,113,0.051177536231884056,0.948822463768116
low,18,crdt_lww,24,0.32608695652173914,0,113,0.051177536231884056,0.948822463768116
low,18,leader,24,0.32608695652173914,0,38,0.017210144927536232,0.9827898550724637
low,18,ranked_pairs,24,0.32608695652173914,0,113,0.051177536231884056,0.948822463768116
low,19,lww,24,0.3333333333333333,0,108,0.04891304347826087,0.9510869565217391
low,19,vc,24,0.3333333333333333,0,454,0.2056159420289855,0.7943840579710145
low,19,crdt_pure,24,0.3333333333333333,0,108,0.04891304347826087,0.9510869565217391
low,19,crdt_lww,24,0.3333333333333333,0,108,0.04891304347826087,0.9510869565217391
low,19,leader,24,0.3333333333333333,0,81,0.036684782608695655,0.9633152173913043
low,19,ranked_pairs,24,0.3333333333333333,0,108,0.04891304347826087,0.9510869565217391
low,20,lww,24,0.32608695652173914,0,100,0.04528985507246377,0.9547101449275363
low,20,vc,24,0.32608695652173914,0,630,0.28532608695652173,0.7146739130434783
low,20,crdt_pure,24,0.32608695652173914,0,100,0.04528985507246377,0.9547101449275363
low,20,crdt_lww,24,0.32608695652173914,0,100,0.04528985507246377,0.9547101449275363
low,20,leader,24,0.32608695652173914,0,61,0.0276268115942029,0.9723731884057971
low,20,ranked_pairs,24,0.32608695652173914,0,100,0.04528985507246377,0.9547101449275363
low,21,lww,24,0.358695652173913,0,103,0.04664855072463768,0.9533514492753623
low,21,vc,24,0.358695652173913,0,493,0.22327898550724637,0.7767210144927537
low,21,crdt_pure,24,0.358695652173913,0,103,0.04664855072463768,0.9533514492753623
low,21,crdt_lww,24,0.358695652173913,0,103,0.04664855072463768,0.9533514492753623
low,21,leader,24,0.358695652173913,0,125,0.05661231884057971,0.9433876811594203
low,21,ranked_pairs,24,0.358695652173913,0,103,0.04664855072463768,0.9533514492753623
low,22,lww,24,0.3442028985507246,0,74,0.03351449275362319,0.9664855072463768
low,22,vc,24,0.3442028985507246,0,482,0.21829710144927536,0.7817028985507246
low,22,crdt_pure,24,0.3442028985507246,0,74,0.03351449275362319,0.9664855072463768
low,22,crdt_lww,24,0.3442028985507246,0,74,0.03351449275362319,0.9664855072463768
low,22,leader,24,0.3442028985507246,0,127,0.057518115942028984,0.9424818840579711
low,22,ranked_pairs,24,0.3442028985507246,0,74,0.03351449275362319,0.9664855072463768
low,23,lww,24,0.322463768115942,0,86,0.03894927536231884,0.9610507246376812
low,23,vc,24,0.322463768115942,0,502,0.22735507246376813,0.7726449275362319
low,23,crdt_pure,24,0.322463768115942,0,86,0.03894927536231884,0.9610507246376812
low,23,crdt_lww,24,0.322463768115942,0,86,0.03894927536231884,0.9610507246376812
low,23,leader,24,0.322463768115942,0,97,0.043931159420289856,0.9560688405797102
low,23,ranked_pairs,24,0.322463768115942,0,86,0.03894927536231884,0.9610507246376812
low,24,lww,24,0.358695652173913,0,112,0.050724637681159424,0.9492753623188406
low,24,vc,24,0.358695652173913,0,650,0.29438405797101447,0.7056159420289856
low,24,crdt_pure,24,0.358695652173913,0,112,0.050724637681159424,0.9492753623188406
low,24,crdt_lww,24,0.358695652173913,0,112,0.050724637681159424,0.9492753623188406
