trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
10,leader,24,0.5416666666666666,1.0,0.9719202898550725,0,62,1.0,0.5483870967741935,0.037500001781154424
10,ranked_pairs,24,1.0,1.0,0.9098731884057971,0,199,1.0,0.2342964824120603,3.4051999973598868
11,lww,24,1.0,1.0,0.9148550724637681,0,188,1.0,0.29654255319148937,0.05280000186758116
11,vc,24,1.0,0.9166666666666666,0.5670289855072463,0,956,0.75,0.0794979079497908,0.14150000060908496
11,crdt_pure,24,1.0,0.9166666666666666,0.9148550724637681,0,188,1.0,0.29654255319148937,0.06410000059986487
11,crdt_lww,24,1.0,1.0,0.9148550724637681,0,188,1.0,0.29654255319148937,0.05059999966761097
11,leader,24,0.5833333333333334,1.0,0.9379528985507246,0,137,1.0,0.2563868613138686,0.03359999755048193
11,ranked_pairs,24,1.0,1.0,0.9148550724637681,0,188,1.0,0.29654255319148937,5.483400000230176
12,lww,24,1.0,1.0,0.9157608695652174,0,186,1.0,0.2110215053763441,0.06130000110715628
12,vc,24,1.0,0.9166666666666666,0.5625,0,966,1.0,0.05201863354037267,0.15950000306474976
12,crdt_pure,24,1.0,0.9166666666666666,0.9157608695652174,0,186,1.0,0.2110215053763441,0.6696999989799224
12,crdt_lww,24,1.0,1.0,0.9157608695652174,0,186,1.0,0.2110215053763441,0.058900001022266224
12,leader,24,0.6666666666666666,1.0,0.926177536231884,0,163,1.0,0.27070552147239263,0.03699999797390774
12,ranked_pairs,24,1.0,1.0,0.9157608695652174,0,186,1.0,0.2110215053763441,3.6760000002686866
13,lww,24,1.0,1.0,0.916213768115942,0,185,1.0,0.46959459459459457,0.05750000127591193
13,vc,24,1.0,1.0,0.5892210144927537,0,907,1.0,0.04230981256890849,0.1542999998491723
13,crdt_pure,24,1.0,1.0,0.916213768115942,0,185,1.0,0.46959459459459457,0.09379999755765311
13,crdt_lww,24,1.0,1.0,0.916213768115942,0,185,1.0,0.46959459459459457,0.05310000051395036
13,leader,24,0.5416666666666666,1.0,0.978713768115942,0,47,1.0,0.726063829787234,0.06479999865405262
13,ranked_pairs,24,1.0,1.0,0.916213768115942,0,185,1.0,0.46959459459459457,3.3801999998104293
14,lww,24,1.0,1.0,0.9184782608695652,0,180,0.5,0.35,0.04950000220560469
14,vc,24,1.0,0.8333333333333334,0.6086956521739131,0,864,0.5,0.029513888888888888,0.1646999990043696
14,crdt_pure,24,1.0,0.8333333333333334,0.9184782608695652,0,180,0.5,0.35,0.06550000034621917
14,crdt_lww,24,1.0,1.0,0.9184782608695652,0,180,0.5,0.35,0.04980000085197389
14,leader,24,0.6666666666666666,1.0,0.9384057971014492,0,136,1.0,0.35661764705882354,0.04099999932805076
14,ranked_pairs,24,1.0,1.0,0.9184782608695652,0,180,0.5,0.35,5.322499997419072
15,lww,24,1.0,1.0,0.9202898550724637,0,176,1.0,0.3068181818181818,0.05539999983739108
15,vc,24,1.0,1.0,0.6847826086956521,0,696,1.0,0.08477011494252873,0.13219999891589396
15,crdt_pure,24,1.0,1.0,0.9202898550724637,0,176,1.0,0.3068181818181818,0.05360000068321824
15,crdt_lww,24,1.0,1.0,0.9202898550724637,0,176,1.0,0.3068181818181818,0.051399998483248055
15,leader,24,0.5,1.0,0.9316123188405797,0,151,1.0,0.21937086092715233,0.0335000004270114
15,ranked_pairs,24,1.0,1.0,0.9202898550724637,0,176,1.0,0.3068181818181818,3.4989999985555187
16,lww,24,1.0,1.0,0.8967391304347826,0,228,1.0,0.2949561403508772,0.05239999882178381
16,vc,24,1.0,0.9166666666666666,0.6077898550724637,0,866,0.6666666666666666,0.10306004618937645,0.12319999950705096
16,crdt_pure,24,1.0,0.9166666666666666,0.8967391304347826,0,228,1.0,0.2949561403508772,0.05650000093737617
16,crdt_lww,24,1.0,1.0,0.8967391304347826,0,228,1.0,0.2949561403508772,0.04990000161342323
16,leader,24,0.5416666666666666,1.0,0.9624094202898551,0,83,1.0,0.45331325301204817,0.03469999865046702
16,ranked_pairs,24,1.0,1.0,0.8967391304347826,0,228,1.0,0.2949561403508772,3.462500000750879
17,lww,24,1.0,1.0,0.9239130434782609,0,168,0.75,0.12648809523809523,0.04959999932907522
17,vc,24,1.0,0.9166666666666666,0.6802536231884058,0,706,0.75,0.06905099150141643,0.12489999789977446
17,crdt_pure,24,1.0,0.9166666666666666,0.9239130434782609,0,168,0.75,0.12648809523809523,0.06100000246078707
17,crdt_lww,24,1.0,1.0,0.9239130434782609,0,168,0.75,0.12648809523809523,0.04999999873689376
17,leader,24,0.6666666666666666,1.0,0.9456521739130435,0,120,1.0,0.30833333333333335,0.03590000051190145
17,ranked_pairs,24,1.0,1.0,0.9239130434782609,0,168,0.75,0.12648809523809523,3.5891000006813556
18,lww,24,1.0,1.0,0.9153079710144928,0,187,1.0,0.2306149732620321,0.05160000000614673
18,vc,24,1.0,1.0,0.5330615942028986,0,1031,1.0,0.05419495635305529,0.12720000086119398
18,crdt_pure,24,1.0,1.0,0.9153079710144928,0,187,1.0,0.2306149732620321,0.051799997891066596
18,crdt_lww,24,1.0,1.0,0.9153079710144928,0,187,1.0,0.2306149732620321,0.07819999882485718
18,leader,24,0.5416666666666666,1.0,0.9515398550724637,0,107,1.0,0.2651869158878505,0.04239999907440506
18,ranked_pairs,24,1.0,1.0,0.9153079710144928,0,187,1.0,0.2306149732620321,4.544499999610707
19,lww,24,1.0,1.0,0.927536231884058,0,160,0.6666666666666666,0.3125,0.057999997807201
19,vc,24,1.0,0.75,0.6702898550724637,0,728,0.6666666666666666,0.052884615384615384,0.16390000018873252
