M,trial,tau_total_ms,rp_ms,lww_ms,vc_ms,merge_thr_ops_s,rp_tau
50,5,36.39449999900535,4.303899997466942,0.04260000059730373,0.08829999933368526,11617.370298898086,707
50,6,41.429799999605166,4.6548000027542,0.05390000296756625,0.09250000221072696,10741.600062390538,636
50,7,34.57619999971939,4.218499998387415,0.044299998990027234,0.08510000043315813,11852.554229966398,745
50,8,37.774100001115585,4.527299999608658,0.041799998143687844,0.09810000119614415,11044.110176997774,567
50,9,37.350899998273235,4.478700000618119,0.04990000161342323,0.18540000019129366,11163.953824346205,573
50,10,35.29469999921275,4.228300000249874,0.044600001274375245,0.0774000000092201,11825.083366138926,623
50,11,35.906199998862576,4.334799999924144,0.05439999949885532,0.3974999999627471,11534.557534574828,735
100,0,195.76080000115326,25.210100000549573,0.07280000136233866,0.36129999716649763,3966.6641543595633,2714
100,1,218.68929999982356,29.92929999891203,0.08470000102533959,0.21779999951831996,3341.2074456681294,2482
100,2,246.65839999943273,28.70029999758117,0.07520000144722871,0.2423999976599589,3484.284136696407,2918
100,3,231.70649999883608,34.495899999456014,0.07760000153211877,0.2685999970708508,2898.8952310731697,2397
100,4,364.6386000000348,40.870799999538576,0.07809999806340784,0.2746999998635147,2446.734588046453,2125
100,5,242.54660000224249,27.66189999965718,0.07379999806289561,0.25430000096093863,3615.080670569965,2122
100,6,269.9194999986503,31.265100002201507,0.07560000085504726,0.25649999952293,3198.4545065571065,2221
100,7,250.34900000173366,42.29459999987739,0.07399999958579428,0.2640000020619482,2364.3680280766316,2714
100,8,254.70009999844478,27.413600000727456,0.07100000220816582,0.23559999681310728,3647.824437408672,2193
100,9,264.46800000121584,27.75199999814504,0.08150000212481245,0.2870999996957835,3603.343903382966,2083
100,10,250.77750000127708,26.89719999762019,0.08549999984097667,0.2634999982547015,3717.859108340191,2345
100,11,222.5628999985929,27.6642000026186,0.07649999679415487,0.2516000022296794,3614.780112583568,2174
