conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
low,27,rp_unconstrained,0,0.0,1.0,6.0
low,28,lww,0,2.0,0.9428571428571428,
low,28,vc,0,11.0,0.6857142857142857,
low,28,crdt_pure,0,2.0,0.9428571428571428,
low,28,crdt_lww,0,2.0,0.9428571428571428,
low,28,leader,0,1.0,0.9714285714285714,
low,28,ranked_pairs,0,0.0,1.0,
low,28,rp_unconstrained,0,0.0,1.0,12.0
low,29,lww,0,0.0,1.0,
low,29,vc,0,1.0,0.9722222222222222,
low,29,crdt_pure,0,0.0,1.0,
low,29,crdt_lww,0,0.0,1.0,
low,29,leader,0,0.0,1.0,
low,29,ranked_pairs,0,0.0,1.0,
low,29,rp_unconstrained,0,0.0,1.0,18.0
high,0,lww,0,0.0,1.0,
high,0,vc,0,9.0,0.7,
high,0,crdt_pure,0,0.0,1.0,
high,0,crdt_lww,0,0.0,1.0,
high,0,leader,0,0.0,1.0,
high,0,ranked_pairs,0,0.0,1.0,
high,0,rp_unconstrained,0,0.0,1.0,3.0
high,1,lww,0,0.0,1.0,
high,1,vc,0,7.0,0.7741935483870968,
high,1,crdt_pure,0,0.0,1.0,
high,1,crdt_lww,0,0.0,1.0,
high,1,leader,0,0.0,1.0,
high,1,ranked_pairs,0,0.0,1.0,
high,1,rp_unconstrained,0,0.0,1.0,6.0
high,2,lww,0,2.0,0.9230769230769231,
high,2,vc,0,9.0,0.6538461538461539,
high,2,crdt_pure,0,2.0,0.9230769230769231,
high,2,crdt_lww,0,2.0,0.9230769230769231,
high,2,leader,0,0.0,1.0,
high,2,ranked_pairs,0,0.0,1.0,
high,2,rp_unconstrained,0,0.0,1.0,4.0
high,3,lww,0,0.0,1.0,
high,3,vc,0,3.0,0.9189189189189189,
high,3,crdt_pure,0,0.0,1.0,
high,3,crdt_lww,0,0.0,1.0,
high,3,leader,0,0.0,1.0,
high,3,ranked_pairs,0,0.0,1.0,
high,3,rp_unconstrained,0,0.0,1.0,2.0
high,4,lww,0,0.0,1.0,
high,4,vc,0,19.0,0.4411764705882353,
high,4,crdt_pure,0,0.0,1.0,
high,4,crdt_lww,0,0.0,1.0,
high,4,leader,0,0.0,1.0,
high,4,ranked_pairs,0,0.0,1.0,
