trial,strategy,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms,repair_swaps
5,crdt_pure,1.0,0.8333333333333334,1.0,0,0.0,0.6666666666666666,0.0,0.022199999875738285,
5,crdt_lww,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.015499999790336005,
5,leader,0.6666666666666666,1.0,1.0,0,0.0,0.75,0.0,0.0625000002401066,
5,ranked_pairs,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.3054999997402774,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.0,3.0
6,lww,1.0,1.0,0.9743589743589743,0,1.0,0.6666666666666666,0.875,0.01700000029813964,
6,vc,1.0,0.875,0.5897435897435898,0,16.0,0.6666666666666666,0.765625,0.07220000043162145,
6,crdt_pure,1.0,0.875,0.9743589743589743,0,1.0,0.6666666666666666,0.875,0.04179999996267725,
6,crdt_lww,1.0,1.0,0.9743589743589743,0,1.0,0.6666666666666666,0.875,0.013199999557400588,
6,leader,0.5833333333333334,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.018000000636675395,
6,ranked_pairs,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.29859999995096587,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.0,5.0
7,lww,1.0,1.0,1.0,0,0.0,0.8,0.0,0.016799999684735667,
7,vc,1.0,0.9166666666666666,0.7272727272727273,0,9.0,0.8,0.7638888888888888,0.039399999877787195,
7,crdt_pure,1.0,0.9166666666666666,1.0,0,0.0,0.8,0.0,0.017500000467407517,
7,crdt_lww,1.0,1.0,1.0,0,0.0,0.8,0.0,0.012100000276404899,
7,leader,0.5416666666666666,1.0,1.0,0,0.0,1.0,0.0,0.007100000402715523,
7,ranked_pairs,1.0,1.0,1.0,0,0.0,0.8,0.0,0.28029999975842657,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.8,0.0,0.0,5.0
8,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.019099999917671084,
8,vc,1.0,1.0,0.5945945945945945,0,15.0,1.0,0.7416666666666667,0.03310000010969816,
8,crdt_pure,1.0,1.0,1.0,0,0.0,1.0,0.0,0.016899999536690302,
8,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.015499999790336005,
8,leader,0.625,1.0,1.0,0,0.0,1.0,0.0,0.009000000318337698,
8,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.2843000002030749,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,5.0
9,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.017899999875226058,
9,vc,1.0,1.0,0.6896551724137931,0,9.0,1.0,0.5694444444444444,0.03329999981360743,
9,crdt_pure,1.0,1.0,1.0,0,0.0,1.0,0.0,0.014199999895936344,
9,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.029600000743812416,
9,leader,0.6666666666666666,1.0,1.0,0,0.0,1.0,0.0,0.008999999408842996,
9,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.29279999944265,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,4.0
10,lww,1.0,1.0,0.9696969696969697,0,1.0,1.0,0.875,0.02299999960087007,
10,vc,1.0,1.0,0.7575757575757576,0,8.0,1.0,0.75,0.03510000078676967,
10,crdt_pure,1.0,1.0,0.9696969696969697,0,1.0,1.0,0.875,0.014199999895936344,
10,crdt_lww,1.0,1.0,0.9696969696969697,0,1.0,1.0,0.875,0.012500000593718141,
10,leader,0.5416666666666666,1.0,1.0,0,0.0,1.0,0.0,0.007599999662488699,
10,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.31679999938205583,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0
11,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.020200000108161476,
11,vc,1.0,0.9166666666666666,0.8709677419354839,0,4.0,1.0,0.6875,0.0850000005812035,
11,crdt_pure,1.0,0.9166666666666666,1.0,0,0.0,1.0,0.0,0.1902999993035337,
11,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.016400000276917126,
11,leader,0.5833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.007800000275892671,
11,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.3068000005441718,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,2.0
12,lww,1.0,1.0,1.0,0,0.0,0.8,0.0,0.017400000615452882,
12,vc,1.0,0.9166666666666666,0.5,0,14.0,0.8,0.5892857142857143,0.04040000021632295,
12,crdt_pure,1.0,0.9166666666666666,1.0,0,0.0,0.8,0.0,0.017899999875226058,
12,crdt_lww,1.0,1.0,1.0,0,0.0,0.8,0.0,0.015300000086426735,
12,leader,0.6666666666666666,1.0,1.0,0,0.0,0.8,0.0,0.008600000001024455,
12,ranked_pairs,1.0,1.0,1.0,0,0.0,0.8,0.0,0.299299999824143,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.8,0.0,0.0,2.0
13,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.02719999974942766,
13,vc,1.0,1.0,0.75,0,9.0,1.0,0.7361111111111112,0.03689999994094251,
