trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
210005,vc,24,1.0,0.9583333333333334,1.0,0,0.0,1.0,0.0,0.18280000006143382
210005,crdt_pure,24,1.0,0.9583333333333334,1.0,0,0.0,1.0,0.0,0.06670000004760368
210005,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.04409999996823899
210005,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.013199999898461101
210005,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,1.4294999999719948
210006,lww,24,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.05520000001979497
210006,vc,24,1.0,0.8333333333333334,1.0,0,0.0,0.6666666666666666,0.0,0.24840000003223395
210006,crdt_pure,24,1.0,0.8333333333333334,1.0,0,0.0,0.6666666666666666,0.0,0.05840000005719048
210006,crdt_lww,24,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.03749999996216502
210006,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.019999999949504854
210006,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,1.0804999999436404
210007,lww,24,1.0,1.0,0.9995471014492754,0,1.0,0.6666666666666666,0.875,0.0599999999622014
210007,vc,24,1.0,0.875,0.9995471014492754,0,1.0,0.6666666666666666,0.875,0.13720000004013855
210007,crdt_pure,24,1.0,0.875,0.9995471014492754,0,1.0,0.6666666666666666,0.875,0.05290000001423323
210007,crdt_lww,24,1.0,1.0,0.9995471014492754,0,1.0,0.6666666666666666,0.875,0.03219999996417755
210007,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.013500000022759195
210007,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,1.2323999999352964
210008,lww,24,1.0,1.0,1.0,0,0.0,0.8,0.0,0.04850000004807953
210008,vc,24,1.0,0.9166666666666666,1.0,0,0.0,0.8,0.0,0.1297000000022308
210008,crdt_pure,24,1.0,0.9166666666666666,1.0,0,0.0,0.8,0.0,0.0604999999040956
210008,crdt_lww,24,1.0,1.0,1.0,0,0.0,0.8,0.0,0.03179999998792482
210008,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.014599999985875911
210008,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.8,0.0,0.9031999999251639
210009,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0617999999121821
210009,vc,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.18069999998715502
210009,crdt_pure,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.057200000014745456
210009,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.03180000010161166
210009,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.013500000022759195
210009,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,1.1153000000376778
210010,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.060699999949065386
210010,vc,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.4033000000163156
210010,crdt_pure,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.05020000003241876
210010,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.05420000002231973
210010,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.018699999941418355
210010,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,1.402900000016416
210011,lww,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.06339999993087986
210011,vc,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.16010000001642766
210011,crdt_pure,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.06329999996523838
210011,crdt_lww,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.04979999994247919
210011,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.02029999996011611
210011,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,1.3301999999839609
210012,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.06000000007588824
210012,vc,24,1.0,0.9166666666666666,1.0,0,0.0,1.0,0.0,0.17669999999725405
210012,crdt_pure,24,1.0,0.9166666666666666,1.0,0,0.0,1.0,0.0,0.06150000001525768
210012,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.04509999996571423
210012,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.018800000020746666
210012,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,1.446100000066508
210013,lww,24,1.0,1.0,1.0,0,0.0,0.8,0.0,0.06220000000212167
210013,vc,24,1.0,0.9166666666666666,1.0,0,0.0,0.8,0.0,0.20329999995283288
210013,crdt_pure,24,1.0,0.9166666666666666,1.0,0,0.0,0.8,0.0,0.06700000005821494
210013,crdt_lww,24,1.0,1.0,1.0,0,0.0,0.8,0.0,0.04809999995813996
210013,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.02910000000611035
210013,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.8,0.0,1.4693000000534084
210014,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.051100000064252526
210014,vc,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.16059999995832186
210014,crdt_pure,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.06970000004002941
210014,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.04780000006121554
210014,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.019499999893923814
210014,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,1.2634999999363572
210015,lww,24,1.0,1.0,0.9995471014492754,0,1.0,0.5,0.875,0.02329999995254184
210015,vc,24,1.0,0.8333333333333334,0.9995471014492754,0,1.0,0.5,0.875,0.04749999993691745
210015,crdt_pure,24,1.0,0.8333333333333334,0.9995471014492754,0,1.0,0.5,0.875,0.017800000023271423
210015,crdt_lww,24,1.0,1.0,0.9995471014492754,0,1.0,0.5,0.875,0.012299999980314169
210015,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.022999999941930582
210015,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.5,0.0,1.189400000043861
210016,lww,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.04430000001320877
210016,vc,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.11089999998148414
210016,crdt_pure,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.03750000007585186
210016,crdt_lww,24,1.0,1.0,0.9995471014492754,0,1.0,1.0,0.875,0.03249999997478881
210016,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.018400000044493936
210016,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.9620999999242486
210017,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.04150000006575283
210017,vc,24,1.0,0.9166666666666666,1.0,0,0.0,1.0,0.0,0.1186999999163163
210017,crdt_pure,24,1.0,0.9166666666666666,1.0,0,0.0,1.0,0.0,0.03939999999147403
210017,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.031600000056641875
210017,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.012500000025283953
210017,ranked_pairs,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.9519000000182132
210018,lww,24,1.0,1.0,0.9995471014492754,0,1.0,0.75,0.875,0.060300000086499495
210018,vc,24,1.0,0.9166666666666666,0.9995471014492754,0,1.0,0.75,0.875,0.18310000007204508
210018,crdt_pure,24,1.0,0.9166666666666666,0.9995471014492754,0,1.0,0.75,0.875,0.06399999995210237
210018,crdt_lww,24,1.0,1.0,0.9995471014492754,0,1.0,0.75,0.875,0.04969999997683772
210018,leader,24,0.20833333333333334,1.0,1.0,0,0.0,1.0,0.0,0.023199999986900366
210018,ranked_pairs,24,1.0,1.0,1.0,0,0.0,0.75,0.0,1.4094000000568485
210019,lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.06410000003143068
210019,vc,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.16460000006190967
210019,crdt_pure,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.05519999990610813
210019,crdt_lww,24,1.0,1.0,1.0,0,0.0,1.0,0.0,0.04839999996875122
