strategy,metric,n,mean,std,ci95_low,ci95_high,conflict,minority_frac
leader,tauhat,15,0.0,0.0,,,,0.4
lww,ops_retained,15,1.0,0.0,,,,0.4
lww,info_retention,15,0.9997584541062802,0.0003366047794190055,0.9995720485926354,0.999944859619925,,0.4
lww,tauhat,15,0.00024154589371978662,0.00033660477941899663,5.514038007503234e-05,0.0004279514073645409,,0.4
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.4
ranked_pairs,info_retention,15,1.0,0.0,,,,0.4
ranked_pairs,tauhat,15,0.0,0.0,,,,0.4
leader,ops_retained,15,0.16666666666666657,2.872975021810196e-17,0.16666666666666655,0.1666666666666666,,0.5
leader,info_retention,15,1.0,0.0,,,,0.5
leader,tauhat,15,0.0,0.0,,,,0.5
lww,ops_retained,15,1.0,0.0,,,,0.5
lww,info_retention,15,0.9998490338164251,0.00022099186434521687,0.9997266526011147,0.9999714150317355,,0.5
lww,tauhat,15,0.00015096618357486664,0.00022099186434521107,2.8584968264481488e-05,0.0002733473988852518,,0.5
ranked_pairs,ops_retained,15,1.0,0.0,,,,0.5
ranked_pairs,info_retention,15,1.0,0.0,,,,0.5
ranked_pairs,tauhat,15,0.0,0.0,,,,0.5
