minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.2,12,ranked_pairs,1.0,1.0,0.0
0.2,13,leader,0.25,1.0,0.0
0.2,13,lww,1.0,0.9990942028985508,0.0009057971014492754
0.2,13,ranked_pairs,1.0,1.0,0.0
0.2,14,leader,0.25,1.0,0.0
0.2,14,lww,1.0,0.9990942028985508,0.0009057971014492754
0.2,14,ranked_pairs,1.0,1.0,0.0
0.3,0,leader,0.25,1.0,0.0
0.3,0,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,0,ranked_pairs,1.0,1.0,0.0
0.3,1,leader,0.25,1.0,0.0
0.3,1,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,1,ranked_pairs,1.0,1.0,0.0
0.3,2,leader,0.25,1.0,0.0
0.3,2,lww,1.0,0.9990942028985508,0.0009057971014492754
0.3,2,ranked_pairs,1.0,1.0,0.0
0.3,3,leader,0.25,1.0,0.0
0.3,3,lww,1.0,1.0,0.0
0.3,3,ranked_pairs,1.0,1.0,0.0
0.3,4,leader,0.25,1.0,0.0
0.3,4,lww,1.0,1.0,0.0
0.3,4,ranked_pairs,1.0,1.0,0.0
0.3,5,leader,0.25,1.0,0.0
0.3,5,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,5,ranked_pairs,1.0,1.0,0.0
0.3,6,leader,0.25,1.0,0.0
0.3,6,lww,1.0,1.0,0.0
0.3,6,ranked_pairs,1.0,1.0,0.0
0.3,7,leader,0.25,1.0,0.0
0.3,7,lww,1.0,0.9990942028985508,0.0009057971014492754
0.3,7,ranked_pairs,1.0,1.0,0.0
0.3,8,leader,0.25,1.0,0.0
0.3,8,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,8,ranked_pairs,1.0,1.0,0.0
0.3,9,leader,0.25,1.0,0.0
0.3,9,lww,1.0,1.0,0.0
0.3,9,ranked_pairs,1.0,1.0,0.0
0.3,10,leader,0.25,1.0,0.0
0.3,10,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,10,ranked_pairs,1.0,1.0,0.0
0.3,11,leader,0.25,1.0,0.0
0.3,11,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,11,ranked_pairs,1.0,1.0,0.0
0.3,12,leader,0.25,1.0,0.0
0.3,12,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,12,ranked_pairs,1.0,1.0,0.0
0.3,13,leader,0.25,1.0,0.0
0.3,13,lww,1.0,1.0,0.0
0.3,13,ranked_pairs,1.0,1.0,0.0
0.3,14,leader,0.25,1.0,0.0
0.3,14,lww,1.0,0.9995471014492754,0.0004528985507246377
0.3,14,ranked_pairs,1.0,1.0,0.0
0.4,0,leader,0.20833333333333334,1.0,0.0
0.4,0,lww,1.0,1.0,0.0
0.4,0,ranked_pairs,1.0,1.0,0.0
0.4,1,leader,0.20833333333333334,1.0,0.0
0.4,1,lww,1.0,1.0,0.0
0.4,1,ranked_pairs,1.0,1.0,0.0
0.4,2,leader,0.20833333333333334,1.0,0.0
0.4,2,lww,1.0,0.9995471014492754,0.0004528985507246377
0.4,2,ranked_pairs,1.0,1.0,0.0
0.4,3,leader,0.20833333333333334,1.0,0.0
0.4,3,lww,1.0,1.0,0.0
0.4,3,ranked_pairs,1.0,1.0,0.0
0.4,4,leader,0.20833333333333334,1.0,0.0
0.4,4,lww,1.0,1.0,0.0
0.4,4,ranked_pairs,1.0,1.0,0.0
0.4,5,leader,0.20833333333333334,1.0,0.0
0.4,5,lww,1.0,0.9990942028985508,0.0009057971014492754
0.4,5,ranked_pairs,1.0,1.0,0.0
0.4,6,leader,0.20833333333333334,1.0,0.0
0.4,6,lww,1.0,1.0,0.0
0.4,6,ranked_pairs,1.0,1.0,0.0
0.4,7,leader,0.20833333333333334,1.0,0.0
0.4,7,lww,1.0,1.0,0.0
0.4,7,ranked_pairs,1.0,1.0,0.0
0.4,8,leader,0.20833333333333334,1.0,0.0
0.4,8,lww,1.0,0.9990942028985508,0.0009057971014492754
0.4,8,ranked_pairs,1.0,1.0,0.0
0.4,9,leader,0.20833333333333334,1.0,0.0
0.4,9,lww,1.0,0.9995471014492754,0.0004528985507246377
0.4,9,ranked_pairs,1.0,1.0,0.0
0.4,10,leader,0.20833333333333334,1.0,0.0
0.4,10,lww,1.0,1.0,0.0
0.4,10,ranked_pairs,1.0,1.0,0.0
0.4,11,leader,0.20833333333333334,1.0,0.0
0.4,11,lww,1.0,0.9995471014492754,0.0004528985507246377
