t,phase,tauhat,tau_total,info_retention,solve_ms,window_ops,jac_ab,throughput,lat_p50,lat_p95,lat_p99,cpu_avg,mem_avg,cpu_c2,read_lag,read_consistent
87.44,degraded,0.0,0.0,1.0,0.4644999999072752,20,1.0,192,1.5183999998953368,2.019799999288807,2.019799999288807,27.266,1.4178000000000002,15.57,0,0
90.69,degraded,0.0,0.0,1.0,0.45140000020182924,20,1.0,191,1.3202000000092085,2.444699999614386,2.444699999614386,29.594,1.4123999999999999,15.54,0,1
93.94,degraded,0.0,0.0,1.0,0.47090000043681357,21,0.9047619047619048,178,1.4501500004371337,1.8736000001808861,1.8736000001808861,24.84,1.4123999999999999,14.05,0,1
96.96,degraded,0.0,0.0,1.0,0.5139999993843958,21,0.9047619047619048,191,1.5479000003324472,1.840500000071188,1.840500000071188,24.998,1.4146,14.02,0,1
100.2,degraded,0.0,0.0,1.0,0.4721000004792586,21,0.9047619047619048,192,1.3745000001108565,2.1863000001758337,2.1863000001758337,27.522000000000002,1.4146,18.32,0,1
103.46,degraded,0.0,0.0,1.0,0.0,0,1.0,178,1.4768000000913162,2.033599999776925,2.033599999776925,28.68,1.4198,24.12,0,1
106.49,degraded,0.0,0.0,1.0,0.49870000020746375,21,0.9047619047619048,179,1.5376500000456872,1.7455000006521004,1.7455000006521004,28.612000000000002,1.418,22.44,0,1
109.52,degraded,0.0,0.0,1.0,0.5321000007825205,20,1.0,191,1.5244999999595166,2.3605999995197635,2.3605999995197635,26.604000000000003,1.4176,16.01,0,1
112.78,degraded,0.0,0.0,1.0,0.47929999982443405,20,1.0,191,1.302750000377273,2.381200000854733,2.381200000854733,29.983999999999998,1.4178000000000002,16.29,0,1
116.03,degraded,0.0,0.0,1.0,0.5344000001059612,21,0.9047619047619048,178,1.646249999794236,2.4875999997675535,2.4875999997675535,25.136000000000003,1.4178000000000002,15.36,0,1
119.05,degraded,0.0,0.0,1.0,0.5342999993445119,21,0.9047619047619048,194,1.6785999996500323,3.996299999926123,3.996299999926123,27.85,1.4222,16.36,0,1
122.34,degraded,0.0,0.0,1.0,0.47869999980321154,20,1.0,192,1.455199999782053,2.0472000005611335,2.0472000005611335,26.762,1.4176,16.13,0,1
125.61,degraded,0.0,0.0,1.0,0.4802000003110152,20,1.0,179,1.4843499998278276,2.228800000011688,2.228800000011688,25.608000000000004,1.4174,15.23,0,1
134.23,partitioned,0.0,0.0,1.0,0.5934000000706874,21,0.9047619047619048,424,1.3126499998179497,1.9482999996398576,1.9482999996398576,23.872,1.418,15.47,-1,0
142.43,partitioned,0.0,0.0,1.0,0.4585999995470047,21,0.9047619047619048,484,1.425550000021758,3.2342000004064175,3.2342000004064175,23.318,1.4182000000000001,14.76,-1,0
150.65,partitioned,0.0,0.0,1.0,0.4513000003498746,21,0.9047619047619048,487,1.276500000130909,1.7387999996572034,1.7387999996572034,25.8,1.4218,13.85,-1,0
158.92,partitioned,0.0,0.0,1.0,0.45030000001133885,21,0.9047619047619048,192,1.2617000002137502,1.543300000776071,1.543300000776071,15.579999999999998,1.418,14.56,-1,0
162.2,partitioned,0.0,0.0,1.0,0.4501000003074296,20,1.0,197,1.2285000002520974,1.7126000002463115,1.7126000002463115,15.388,1.4178000000000002,14.22,-1,0
165.54,partitioned,0.0,0.0,1.0,0.0,0,1.0,178,1.192300000184332,2.4023999994824408,2.4023999994824408,16.772,1.4205999999999999,15.5,-1,0
168.56,partitioned,0.0,0.0,1.0,0.6233000003703637,25,0.6,196,1.4426999996430823,1.9959999999628053,1.9959999999628053,19.78,1.4234,15.86,-1,0
171.88,partitioned,0.0,0.0,1.0,0.0,0,1.0,189,1.2163500005044625,1.8708999996306375,1.8708999996306375,15.218,1.4234,13.98,-1,0
175.09,partitioned,0.0,0.0,1.0,0.4555000004984322,20,1.0,177,1.3579999999819847,2.030399999966903,2.030399999966903,15.206,1.4236,14.27,-1,0
178.11,partitioned,0.0,0.0,1.0,0.47820000054343836,21,0.9047619047619048,192,1.5081999999893014,2.9903999993621255,2.9903999993621255,16.232,1.4192,14.96,-1,0
181.35,partitioned,0.0,0.0,1.0,0.498899999911373,21,0.9047619047619048,190,1.7229499999302789,4.163600000538281,4.163600000538281,22.058,1.4194,14.55,-1,0
184.57,partitioned,0.0,0.0,1.0,0.987600000371458,21,0.9047619047619048,178,1.344049999715935,2.2812000006524613,2.2812000006524613,14.606,1.4192,12.93,-1,0
187.59,partitioned,0.0,0.0,1.0,0.46070000007603085,21,0.9047619047619048,189,1.3375499997891893,1.7285000003539608,1.7285000003539608,14.88,1.4192,14.15,-1,0
190.81,partitioned,0.0,0.0,1.0,0.5234999998720014,21,0.9047619047619048,190,1.3261500002954563,2.903900000092108,2.903900000092108,15.053999999999998,1.4176,13.49,-1,0
194.04,partitioned,0.0,0.0,1.0,0.0,0,1.0,177,1.0962000001200067,1.560800000333984,1.560800000333984,14.518,1.4176,12.51,-1,0
202.78,recovery,0.0,0.0,1.0,0.6461000002673245,21,0.9047619047619048,133,1.6588000003139314,2.1450000003824243,2.1450000003824243,42.958,1.4222,18.12,0,1
206.04,recovery,0.0,0.0,1.0,0.663600000734732,20,1.0,177,1.9203500000912754,2.773400000478432,2.773400000478432,67.636,1.4152,18.53,0,0
209.06,recovery,0.0,0.0,1.0,0.49509999917063396,20,1.0,193,1.6473999999107036,2.4890999993658625,2.4890999993658625,25.983999999999998,1.4152,15.69,0,1
212.32,recovery,0.0,0.0,1.0,0.49670000043988694,21,0.9047619047619048,192,1.5434499996445084,1.9102999995084247,1.9102999995084247,30.918,1.4218,18.35,0,1
215.59,recovery,0.0,0.0,1.0,0.5289999999149586,21,0.9047619047619048,178,1.4313500000753265,2.4014999999053543,2.4014999999053543,25.964,1.4213999999999998,14.74,0,1
218.61,recovery,0.0,0.0,1.0,0.0,0,1.0,191,1.3127500001246517,1.6753999998400104,1.6753999998400104,25.488,1.422,14.73,0,1
221.86,recovery,0.0,0.0,1.0,0.4900999992969446,21,0.9047619047619048,192,1.5098499998202897,2.400100000159,2.400100000159,26.553999999999995,1.4225999999999999,16.13,0,1
225.12,recovery,0.0,0.0,1.0,0.49450000005890615,21,0.9047619047619048,178,1.5773000000081083,1.985699999750068,1.985699999750068,37.528000000000006,1.4225999999999999,18.23,0,1
228.14,recovery,0.0,0.0,1.0,0.4734999993161182,20,1.0,192,1.5446499996869534,1.9471999994493672,1.9471999994493672,26.444,1.4224,15.55,0,1
231.4,recovery,0.0,0.0,1.0,0.5426999996416271,21,0.9047619047619048,193,1.9147499997416162,2.6378000002296176,2.6378000002296176,27.151999999999997,1.4222,15.58,0,1
234.68,recovery,0.0,0.0,1.0,0.5332000000635162,20,1.0,178,1.4184500000737899,2.2355000000970904,2.2355000000970904,31.04,1.423,16.47,0,0
237.71,recovery,0.0,0.0,1.0,0.6137999998827581,21,0.9047619047619048,192,1.5896499999143998,2.1749999996245606,2.1749999996245606,26.542,1.423,15.88,0,1
240.97,recovery,0.0,0.0,1.0,0.0,0,1.0,193,1.4264500000535918,2.429899999697227,2.429899999697227,27.154000000000003,1.4205999999999999,16.39,0,1
244.25,recovery,0.0,0.0,1.0,0.5357000000003609,21,0.9047619047619048,178,2.159599999686179,4.4396000002961955,4.4396000002961955,29.79,1.425,15.74,0,1
247.26,recovery,0.0,0.0,1.0,0.6210999999893829,20,1.0,190,1.495599999998376,2.52950000049168,2.52950000049168,28.310000000000002,1.4208,16.36,0,1
250.49,recovery,0.0,0.0,1.0,1.2633000005735084,20,1.0,192,1.507200000105513,1.77590000021155,1.77590000021155,26.644,1.4224,16.22,0,1
253.73,recovery,0.0,0.0,1.0,0.5177000002731802,21,0.9047619047619048,178,1.6822000002321147,2.0648999998229556,2.0648999998229556,26.913999999999998,1.42,16.46,0,1
256.76,recovery,0.0,0.0,1.0,0.5319000001691165,20,1.0,191,1.2947000000167463,1.697499999863794,1.697499999863794,31.718,1.4234,16.9,0,1
260.0,recovery,0.0,0.0,1.0,0.46040000052016694,20,1.0,190,1.4367000003403518,1.7205999993166188,1.7205999993166188,37.168,1.4224,55.26,0,0
